               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.049181,            0.016252,            0.011596,             0.54946,             0.28898,             0.26335,             0.12533,            0.058748,            0.010298,            0.033226,            0.008812,            0.008812,            0.008812
                  38,            0.047909,             0.01697,             0.01176,             0.55088,               0.328,             0.31989,             0.15137,            0.057225,            0.010208,            0.033294,            0.008779,            0.008779,            0.008779
                  39,            0.046177,            0.015972,            0.013398,             0.40168,             0.30632,             0.30586,             0.12088,            0.057953,           0.0096374,            0.029623,            0.008746,            0.008746,            0.008746
                  40,            0.048548,            0.015628,            0.011946,             0.52266,             0.25701,             0.29084,              0.1288,             0.05948,           0.0095139,            0.026521,            0.008713,            0.008713,            0.008713
                  41,            0.046556,              0.0157,            0.010977,              0.5768,             0.38585,             0.38153,             0.17823,            0.054641,            0.009213,             0.02632,             0.00868,             0.00868,             0.00868
                  42,            0.045889,             0.01646,            0.011476,             0.42566,             0.36718,             0.39819,             0.18368,             0.05646,           0.0097684,            0.028291,            0.008647,            0.008647,            0.008647
                  43,             0.04834,             0.01501,            0.010494,             0.52758,              0.3718,             0.39092,             0.16504,            0.058912,           0.0093447,            0.028123,            0.008614,            0.008614,            0.008614
                  44,            0.048072,            0.016384,            0.010269,             0.54429,             0.39072,             0.38688,              0.1855,            0.053966,           0.0095882,            0.031353,            0.008581,            0.008581,            0.008581
                  45,            0.047434,            0.015639,            0.010871,             0.42871,             0.37709,             0.37299,             0.17817,            0.054169,            0.010065,             0.02491,            0.008548,            0.008548,            0.008548
                  46,            0.044724,            0.015343,            0.010723,             0.57655,             0.30438,             0.36835,             0.16175,            0.056203,           0.0096786,             0.02496,            0.008515,            0.008515,            0.008515
                  47,            0.042385,            0.014747,             0.01181,             0.56869,             0.39775,             0.40294,             0.19936,            0.055825,            0.010051,            0.027745,            0.008482,            0.008482,            0.008482
                  48,            0.046187,            0.014946,            0.010987,             0.60418,             0.39313,             0.38521,             0.20315,            0.054802,           0.0095799,             0.02354,            0.008449,            0.008449,            0.008449
                  49,            0.046435,             0.01543,            0.010547,              0.4811,             0.37351,             0.32055,             0.13926,            0.059296,           0.0099523,            0.026027,            0.008416,            0.008416,            0.008416
                  50,            0.046977,            0.015299,           0.0090035,              0.5427,             0.37937,             0.36003,             0.15985,            0.056077,            0.010284,            0.032801,            0.008383,            0.008383,            0.008383
                  51,            0.045278,            0.014971,           0.0099314,             0.51606,             0.36921,             0.42295,             0.19568,            0.054114,           0.0099071,            0.025195,             0.00835,             0.00835,             0.00835
                  52,            0.044315,            0.014477,           0.0093811,             0.52873,             0.47489,             0.40989,             0.20988,            0.055316,            0.010526,            0.028538,            0.008317,            0.008317,            0.008317
                  53,            0.045221,             0.01517,           0.0099414,             0.48591,             0.50667,             0.43949,             0.21512,             0.05486,            0.010125,            0.024299,            0.008284,            0.008284,            0.008284
                  54,            0.043739,             0.01474,           0.0095915,             0.43502,             0.43267,              0.3942,             0.18023,            0.054354,            0.010061,            0.022806,            0.008251,            0.008251,            0.008251
                  55,            0.043529,            0.014738,           0.0083518,             0.54237,             0.35364,             0.41454,             0.18982,            0.055659,            0.010026,            0.024856,            0.008218,            0.008218,            0.008218
                  56,            0.043415,            0.014174,           0.0086924,             0.44049,             0.43189,             0.39609,             0.19803,            0.054745,           0.0097605,            0.023459,            0.008185,            0.008185,            0.008185
                  57,            0.045594,            0.015082,           0.0090169,             0.49321,             0.49073,             0.42646,             0.20386,            0.052055,           0.0092719,            0.023655,            0.008152,            0.008152,            0.008152
                  58,            0.042657,            0.015544,           0.0080126,             0.56129,             0.47361,             0.44942,             0.23464,            0.051017,           0.0093633,            0.023885,            0.008119,            0.008119,            0.008119
                  59,            0.042121,            0.015234,           0.0089004,             0.45353,             0.47173,             0.41071,               0.196,            0.056187,           0.0099651,            0.023405,            0.008086,            0.008086,            0.008086
                  60,            0.043719,            0.013984,           0.0095392,             0.48555,             0.49715,             0.46109,             0.22904,            0.052279,           0.0099424,            0.022556,            0.008053,            0.008053,            0.008053
                  61,            0.042923,            0.015099,            0.010069,             0.46947,             0.47171,             0.40702,             0.20276,            0.054835,           0.0099921,            0.026072,             0.00802,             0.00802,             0.00802
                  62,             0.04187,            0.014158,            0.010222,              0.5429,             0.43753,              0.4206,             0.21078,            0.054098,           0.0099963,            0.030828,            0.007987,            0.007987,            0.007987
                  63,            0.042762,            0.015389,           0.0084156,              0.5582,             0.40072,             0.42836,               0.215,            0.053064,           0.0097811,            0.026509,            0.007954,            0.007954,            0.007954
                  64,            0.041046,            0.014018,           0.0078831,             0.44562,             0.47336,             0.42202,             0.19876,            0.056325,            0.010271,            0.025932,            0.007921,            0.007921,            0.007921
                  65,            0.040289,            0.014444,           0.0086197,             0.47405,             0.52255,             0.48946,             0.26094,            0.051113,           0.0096055,            0.025453,            0.007888,            0.007888,            0.007888
                  66,            0.040679,            0.013523,           0.0073252,             0.48435,              0.5019,             0.45733,             0.23802,            0.051226,           0.0093193,            0.021594,            0.007855,            0.007855,            0.007855
                  67,            0.040602,            0.014038,           0.0074552,             0.56089,             0.45755,             0.44169,             0.22996,             0.05259,            0.009513,            0.022546,            0.007822,            0.007822,            0.007822
                  68,            0.042432,              0.0145,           0.0074705,             0.44095,             0.48988,             0.46159,             0.23748,            0.052015,           0.0098754,            0.025733,            0.007789,            0.007789,            0.007789
                  69,            0.042458,            0.014778,            0.006883,              0.5666,             0.43348,             0.46628,             0.25176,             0.05181,           0.0099399,            0.025548,            0.007756,            0.007756,            0.007756
                  70,            0.039409,            0.014017,           0.0076436,             0.57045,             0.43122,             0.49344,             0.25834,            0.053541,           0.0094985,            0.020764,            0.007723,            0.007723,            0.007723
                  71,            0.040595,            0.014129,           0.0071436,              0.4624,             0.53849,             0.49915,             0.26671,            0.053485,           0.0097911,            0.022057,             0.00769,             0.00769,             0.00769
                  72,              0.0408,             0.01421,           0.0060573,             0.47631,             0.55598,              0.5099,             0.23762,            0.051372,           0.0097495,             0.02315,            0.007657,            0.007657,            0.007657
                  73,            0.039285,            0.013461,           0.0071299,             0.60678,             0.45404,             0.47345,             0.25355,            0.051832,            0.010062,            0.021869,            0.007624,            0.007624,            0.007624
                  74,            0.041008,            0.013687,           0.0081875,             0.58553,             0.44601,              0.4629,             0.23774,             0.05384,           0.0098636,            0.023694,            0.007591,            0.007591,            0.007591
                  75,            0.039805,            0.014431,           0.0087993,             0.59382,             0.45909,             0.49221,              0.2239,            0.054129,            0.010212,            0.023036,            0.007558,            0.007558,            0.007558
                  76,            0.040178,            0.013219,           0.0075403,             0.53586,             0.45358,             0.45817,             0.22199,             0.05385,           0.0095841,            0.023535,            0.007525,            0.007525,            0.007525
                  77,             0.03979,            0.013348,           0.0080414,              0.5896,             0.41528,             0.45037,             0.21931,            0.055736,           0.0093202,            0.023191,            0.007492,            0.007492,            0.007492
                  78,            0.038684,            0.013287,             0.00717,             0.57409,              0.4362,              0.4515,             0.22351,            0.053619,            0.010201,            0.023233,            0.007459,            0.007459,            0.007459
                  79,            0.039602,            0.013023,           0.0070218,             0.52618,             0.49898,             0.44361,             0.24483,            0.051321,           0.0096217,             0.02277,            0.007426,            0.007426,            0.007426
                  80,            0.039042,            0.012818,           0.0063127,             0.59254,             0.47787,             0.47748,             0.25522,            0.050986,            0.010013,            0.027456,            0.007393,            0.007393,            0.007393
                  81,            0.038963,            0.015034,           0.0062414,             0.64053,             0.45258,             0.43263,             0.23064,            0.052028,           0.0099415,            0.027257,             0.00736,             0.00736,             0.00736
                  82,            0.037521,            0.012663,           0.0074774,             0.60591,             0.41506,             0.43757,             0.24327,            0.053281,            0.010388,            0.023297,            0.007327,            0.007327,            0.007327
                  83,            0.037311,            0.013644,           0.0067706,             0.62269,             0.49074,             0.47356,              0.2327,            0.055186,            0.010175,            0.025146,            0.007294,            0.007294,            0.007294
                  84,            0.039017,            0.013555,           0.0067745,             0.59682,             0.46179,             0.46121,             0.23186,            0.054007,           0.0097205,            0.023244,            0.007261,            0.007261,            0.007261
                  85,            0.039242,            0.013532,           0.0067592,             0.56521,             0.44364,             0.42249,             0.20923,            0.054293,            0.010323,            0.021058,            0.007228,            0.007228,            0.007228
                  86,            0.037835,            0.012552,           0.0065591,              0.5721,             0.40195,              0.4372,             0.23618,             0.05291,            0.010458,            0.023884,            0.007195,            0.007195,            0.007195
                  87,            0.039413,            0.013132,           0.0059437,             0.61108,             0.41831,             0.47661,             0.23804,            0.053229,           0.0097931,            0.022972,            0.007162,            0.007162,            0.007162
                  88,            0.039252,            0.013152,            0.007805,             0.64241,             0.41329,             0.45156,             0.24401,            0.054392,           0.0098061,            0.020488,            0.007129,            0.007129,            0.007129
                  89,              0.0384,             0.01298,           0.0062462,             0.56961,              0.4768,             0.47319,             0.24336,            0.052021,           0.0099909,            0.022477,            0.007096,            0.007096,            0.007096
                  90,            0.038765,            0.013207,           0.0055346,             0.53843,             0.46386,             0.47933,             0.25046,            0.050651,            0.009762,            0.023214,            0.007063,            0.007063,            0.007063
                  91,            0.037689,            0.013332,           0.0064679,             0.56717,             0.50195,              0.4738,             0.25065,            0.051383,           0.0096399,            0.023004,             0.00703,             0.00703,             0.00703
                  92,            0.037252,            0.013657,           0.0063594,             0.57726,             0.51421,             0.49923,              0.2592,            0.051151,           0.0093212,            0.022183,            0.006997,            0.006997,            0.006997
                  93,            0.038297,            0.012335,           0.0062442,             0.49121,             0.48927,             0.44058,             0.23207,            0.052986,           0.0096754,            0.022406,            0.006964,            0.006964,            0.006964
                  94,            0.038068,            0.013702,           0.0062597,             0.48261,             0.44544,             0.41874,             0.23961,            0.052253,            0.010198,            0.023667,            0.006931,            0.006931,            0.006931
                  95,            0.036618,            0.012846,            0.005999,                 0.6,              0.4529,             0.45842,               0.226,            0.051602,            0.010249,            0.026866,            0.006898,            0.006898,            0.006898
                  96,            0.037651,            0.013416,           0.0051727,              0.6517,             0.39075,              0.4195,             0.20673,            0.053614,            0.010226,            0.025491,            0.006865,            0.006865,            0.006865
                  97,            0.037753,            0.012874,           0.0052711,             0.64098,              0.4568,             0.45175,             0.24179,             0.05262,            0.010987,            0.022891,            0.006832,            0.006832,            0.006832
                  98,            0.035711,            0.012738,           0.0057556,             0.58235,              0.4434,             0.43609,             0.23936,            0.051712,            0.010573,             0.02071,            0.006799,            0.006799,            0.006799
                  99,             0.03603,            0.013022,           0.0056886,             0.60462,             0.41643,             0.44262,              0.2529,            0.053368,              0.0103,            0.024023,            0.006766,            0.006766,            0.006766
                 100,             0.03484,            0.011872,           0.0058738,             0.52435,             0.46403,             0.39612,             0.20197,            0.052515,            0.010378,            0.023316,            0.006733,            0.006733,            0.006733
                 101,            0.037428,            0.012704,           0.0056651,             0.56139,             0.42004,             0.42268,             0.21402,             0.05119,            0.010412,            0.025587,              0.0067,              0.0067,              0.0067
                 102,            0.037185,            0.012952,           0.0051066,              0.5614,             0.42302,             0.44516,             0.22685,            0.050822,            0.010244,            0.024381,            0.006667,            0.006667,            0.006667
                 103,            0.036724,            0.012945,           0.0073011,             0.49925,             0.50363,             0.42542,             0.18552,            0.049503,             0.01056,            0.024339,            0.006634,            0.006634,            0.006634
                 104,            0.036314,            0.012859,           0.0055358,             0.52309,             0.55075,             0.49725,             0.24953,            0.051523,            0.010531,            0.026204,            0.006601,            0.006601,            0.006601
                 105,            0.036255,            0.013608,            0.005153,             0.60444,             0.46004,             0.43538,             0.24752,            0.052363,            0.010208,            0.027955,            0.006568,            0.006568,            0.006568
                 106,            0.035249,            0.012216,           0.0052015,             0.53063,             0.47319,             0.42601,             0.23993,            0.055181,            0.010268,            0.028862,            0.006535,            0.006535,            0.006535
                 107,            0.036204,            0.011883,           0.0051291,             0.54819,             0.47964,             0.42909,             0.21466,            0.052581,             0.01052,            0.026824,            0.006502,            0.006502,            0.006502
                 108,            0.033753,            0.012035,           0.0062716,             0.48412,             0.45995,             0.44615,             0.21923,            0.053825,            0.010608,            0.029703,            0.006469,            0.006469,            0.006469
                 109,             0.03643,            0.012648,           0.0054887,             0.49988,             0.51172,             0.47445,             0.22926,            0.051699,            0.010286,            0.024395,            0.006436,            0.006436,            0.006436
                 110,             0.03441,            0.012812,           0.0040956,             0.44975,             0.48088,             0.42094,              0.2208,            0.055449,            0.010978,            0.029157,            0.006403,            0.006403,            0.006403
                 111,            0.035873,            0.012345,           0.0048165,             0.54523,             0.47132,             0.45342,             0.23455,            0.053355,            0.010397,            0.025871,             0.00637,             0.00637,             0.00637
                 112,            0.034598,             0.01197,           0.0049193,             0.54576,             0.46234,             0.44665,             0.24878,            0.053069,             0.01052,             0.02314,            0.006337,            0.006337,            0.006337
                 113,            0.035082,            0.012529,           0.0041217,             0.53022,             0.44187,             0.43311,             0.23375,             0.05414,            0.010745,            0.024059,            0.006304,            0.006304,            0.006304
                 114,            0.034824,            0.011495,           0.0053098,             0.57982,             0.45151,             0.44121,               0.228,            0.053368,            0.010618,            0.023685,            0.006271,            0.006271,            0.006271
                 115,            0.034658,            0.012769,           0.0044533,             0.56143,             0.44806,              0.4408,             0.23247,            0.052629,            0.010815,            0.024918,            0.006238,            0.006238,            0.006238
                 116,            0.034846,            0.012013,           0.0049548,             0.54043,             0.47251,             0.44095,             0.24004,            0.052392,            0.010686,            0.024763,            0.006205,            0.006205,            0.006205
